text,role
"До свидания.",Клиент
"Никто не спрашивает.",Клиент
"Алло.",Клиент
"Добрый день.",Менеджер
"Здравствуйте.",Клиент
"Меня зовут Александра, ранее пыталась звонить за вами.",Менеджер
"Да.",Клиент
"Звоню уточнить, вы интересовались дизайном интерьера?",Менеджер
"Да, но вот.",Клиент
"Мне, не знаю, сейчас я не могу говорить, только выходные есть только.",Клиент
"А подскажите, а когда будет удобно связаться с вами, кроме выходных?",Менеджер
"Кроме выходных?",Клиент
"Давайте, можете мне на WhatsApp помешать, я вам номер скину, там позвоните супруге, может вот с ней.",Клиент
"Как могу к вам обращаться?",Менеджер
"Алло, это компания по дизайну интерьера?",Клиент
"Да, правильно, чем могу помочь?",Менеджер
"Я хотел бы обсудить проект квартиры.",Клиент
"Хорошо, расскажите, пожалуйста, подробнее.",Менеджер
"У меня квартира 60 квадратных метров.",Клиент
"Понял, мы можем предложить несколько вариантов.",Менеджер
"Сколько времени займет разработка проекта?",Клиент
"Обычно это занимает около двух недель.",Менеджер
"Понятно, а сколько это будет стоить?",Клиент
"Стоимость зависит от сложности, но примерно от 50 тысяч рублей.",Менеджер
"Хорошо, я подумаю и перезвоню.",Клиент
"Хорошо, жду вашего звонка.",Менеджер
"Здравствуйте, я хотел бы уточнить детали договора.",Клиент
"Конечно, какие именно детали вас интересуют?",Менеджер
"Меня интересует пункт о гарантиях.",Клиент
"Мы предоставляем гарантию на все работы в течение года.",Менеджер
"А если что-то пойдет не так?",Клиент
"Мы исправим все за наш счет в рамках гарантии.",Менеджер
"Хорошо, спасибо за информацию.",Клиент
"Пожалуйста, если будут еще вопросы, обращайтесь.",Менеджер

"Добрый день, меня зовут Ирина, я менеджер по продажам.",Менеджер
"Здравствуйте, Ирина. Я интересуюсь вашими услугами.",Клиент
"Конечно, какие услуги вас интересуют?",Менеджер
"Я хотел бы узнать о дизайне интерьера для офиса.",Клиент
"У нас есть специальные предложения для офисов. Когда вы планируете начать?",Менеджер
"Мы хотели бы начать в следующем месяце.",Клиент
"Отлично! Можем назначить встречу для обсуждения деталей. Когда вам удобно встретиться?",Менеджер
"Когда вам удобно?",Клиент
"Как насчет следующей среды в 14:00?",Менеджер
"Подходит, я буду на месте.",Клиент
"Хорошо, я вас запишу.",Менеджер
"Спасибо, до встречи!",Клиент
"Всего доброго!",Менеджер

"Алло, это компания по дизайну интерьера?",Клиент
"Да, здравствуйте! Чем могу помочь?",Менеджер
"Я хотел бы узнать о ваших услугах.",Клиент
"Мы предлагаем полный спектр услуг по дизайну интерьера.",Менеджер
"Какова стоимость ваших услуг?",Клиент
"Стоимость зависит от проекта, но обычно начинается от 30 тысяч рублей.",Менеджер
"Понятно, а сколько времени занимает разработка проекта?",Клиент
"Обычно это занимает от 2 до 4 недель.",Менеджер
"Хорошо, я подумаю и перезвоню.",Клиент
"Жду вашего звонка!",Менеджер

"Здравствуйте, меня зовут Сергей, я хотел бы обсудить проект.",Клиент
"Добрый день, Сергей! Какой проект вас интересует?",Менеджер
"Я планирую ремонт в квартире.",Клиент
"Отлично! Какой стиль вы предпочитаете?",Менеджер
"Мне нравится современный стиль.",Клиент
"Мы можем предложить несколько вариантов. Когда вы планируете начать?",Менеджер
"Я хотел бы начать в следующем месяце.",Клиент
"Хорошо, можем назначить встречу для обсуждения деталей.",Менеджер
"Когда вам удобно?",Клиент
"Как насчет пятницы в 15:00?",Менеджер
"Подходит, спасибо!",Клиент
"До встречи!",Менеджер

"Алло, добрый день!",Клиент
"Здравствуйте! Как я могу помочь?",Менеджер
"Я хотел бы узнать о ваших услугах по ремонту.",Клиент
"Мы предлагаем услуги по ремонту квартир и офисов.",Менеджер
"Какова стоимость ремонта?",Клиент
"Стоимость зависит от объема работ, но обычно начинается от 20 тысяч рублей.",Менеджер
"Понятно, а как долго это займет?",Клиент
"В среднем, ремонт занимает от 1 до 3 месяцев.",Менеджер
"Хорошо, я подумаю и свяжусь с вами.",Клиент
"Жду вашего звонка!",Менеджер

"Здравствуйте, я хотел бы уточнить детали вашего предложения.",Клиент
"Конечно, какие именно детали вас интересуют?",Менеджер
"Меня интересует срок выполнения работ.",Клиент
"Срок выполнения зависит от сложности проекта, но обычно это 2-4 недели.",Менеджер
"Хорошо, а как насчет гарантии?",Клиент
"Мы предоставляем гарантию на все работы в течение года.",Менеджер
"Спасибо за информацию!",Клиент
"Пожалуйста, если будут еще вопросы, обращайтесь.",Менеджер

"Добрый день, меня зовут Ольга, я менеджер по работе с клиентами.",Менеджер
"Здравствуйте, Ольга. Я интересуюсь вашими услугами.",Клиент
"Конечно, какие услуги вас интересуют?",Менеджер
"Я хотел бы узнать о дизайне интерьера для дома.",Клиент
"У нас есть различные пакеты услуг. Какой именно вас интересует?",Менеджер
"Мне нужно что-то для загородного дома.",Клиент
"Понятно. Мы можем предложить несколько вариантов. Когда вы планируете начать?",Менеджер
"Я планирую начать в следующем месяце.",Клиент
"Хорошо, можем назначить встречу для обсуждения деталей.",Менеджер
"Когда вам удобно?",Клиент
"Как насчет следующей пятницы в 16:00?",Менеджер
"Подходит, спасибо!",Клиент
"До встречи!",Менеджер

"Алло, это компания по дизайну интерьера?",Клиент
"Да, правильно, чем могу помочь?",Менеджер
"Я хотел бы обсудить проект квартиры.",Клиент
"Хорошо, расскажите, пожалуйста, подробнее.",Менеджер
"У меня квартира 60 квадратных метров.",Клиент
"Понял, мы можем предложить несколько вариантов.",Менеджер
"Сколько времени займет разработка проекта?",Клиент
"Обычно это занимает около двух недель.",Менеджер
"Понятно, а сколько это будет стоить?",Клиент
"Стоимость зависит от сложности, но примерно от 50 тысяч рублей.",Менеджер
"Хорошо, я подумаю и перезвоню.",Клиент
"Хорошо, жду вашего звонка.",Менеджер
"Здравствуйте, я хотел бы уточнить детали договора.",Клиент
"Конечно, какие именно детали вас интересуют?",Менеджер
"Меня интересует пункт о гарантиях.",Клиент
"Мы предоставляем гарантию на все работы в течение года.",Менеджер
"А если что-то пойдет не так?",Клиент
"Мы исправим все за наш счет в рамках гарантии.",Менеджер
"Хорошо, спасибо за информацию.",Клиент
"Пожалуйста, если будут еще вопросы, обращайтесь.",Менеджер
